Observation,Y-Kappa,ChipRate,BF-CMratio,BlowFlow,ChipLevel4 ,T-upperExt-2 ,T-lowerExt-2  ,UCZAA,WhiteFlow-4 ,AAWhiteSt-4 ,AA-Wood-4  ,ChipMoisture-4 ,SteamFlow-4 ,Lower-HeatT-3,Upper-HeatT-3 ,ChipMass-4 ,WeakLiquorF ,BlackFlow-2 ,WeakWashF ,SteamHeatF-3 ,T-Top-Chips-4 ,SulphidityL-4 
31-01:00,1.0000000000000002,0.9988302139037433,0.26298182924047775,0.978322553239503,0.7825300715783345,0.31092605886575875,0.853949472337705,0.6495575221238936,0.3595048682023272,0.3729216152018999,0.0,0.07696544127770899,0.32018739352640546,0.8333564782669036,0.7079380623049154,0.6273951320559294,0.27396403365517774,0.8275003610629694,0.40319908521141945,0.46117069925999843,0.5172413793103487,0.02999999999999936
31-03:00,0.7008227374719522,0.9433489304812837,0.31338858055196517,0.9999502201926806,0.4247783646995922,0.30770997846374826,0.920307003517749,0.7469026548672568,0.6436845299348266,0.32066508313539366,0.006254114549046008,0.3024920831612281,0.6815161839863713,0.6980974864602132,0.5472795152702119,0.9059006305784869,0.4361245610851662,0.8765038272674754,0.40035040147382606,0.8038579861977218,0.32278706007821256,0.0
1-08:00,0.0,0.7548462566844918,0.4276084036594947,0.45810365483345317,0.3828195201424289,0.10888729361091265,0.7301247201790861,0.4495575221238939,0.659789836143434,0.23990498812351468,0.6606319947333779,0.38634173206663913,0.5422061328790457,0.22788501597000277,0.3185629475488092,0.6671794559356627,0.5290646776622195,0.12401249277874049,0.9961616327103788,0.7190903799783819,0.1926768574475659,0.4399999999999995
31-06:00,0.6297681376215407,0.5459558823529413,0.5890164474517852,0.9102636006730234,0.6360198303058805,0.3474228284278542,0.9209465941797248,0.5061946902654868,0.6508977809440881,0.5320665083135392,0.025345622119816724,0.330717334434806,0.8008517887563884,0.7527426746285215,0.5035191872207605,0.8815152161330613,0.5464700582885266,0.8596241334488735,0.39127105794162537,0.7605803608547437,0.26217561322431493,0.06666666666666643
31-08:00,0.7830964846671651,0.504177807486631,0.6985225170430065,0.9999999999999996,0.8418306361989861,0.34888729361091286,0.7992964502718269,0.5893805309734512,0.41218106018628453,0.6650831353919244,0.02699144173798551,0.2954701913809714,0.5006388415672913,0.9334120261074865,0.7409878205520535,0.671840253449904,0.6620793500717862,0.8661485413056034,0.30154420725845954,0.5542529309054627,0.4665837184500532,0.06333333333333435
31-10:00,0.7606581899775615,0.5487967914438505,0.43977292886287045,0.9841102855037884,0.9306331197460466,0.22590093323761806,0.532874960025584,0.4371681415929203,0.37057706008074076,0.6888361045130633,0.03884134298880948,0.2565055762081787,0.41247870528109054,0.7644771559505621,0.5716384111634731,0.6282480884637647,0.5304399176129401,0.854679376083189,0.22094518122744167,0.5793630996923589,0.5172413793103487,0.09066666666666734
31-12:00,0.970082273747195,0.8773395721925132,0.35971514736815435,0.9915009275637421,0.8539908350619069,0.2834745154343157,0.8018867924528319,0.5380530973451325,0.32880484973218294,0.6437054631828989,0.04147465437788078,0.15778603882693076,0.3312180579216357,0.7778086376892119,0.585776363302525,0.5871843299722792,0.44138517223925355,0.8322970826112073,0.2568613322946114,0.4849505279787145,0.5814077497333798,0.3866666666666667
31-14:00,0.8354525056095734,0.934491978609626,0.10844167363592616,0.5449561439897521,0.15966699418583494,0.3027422828427859,0.8773584905660368,0.8017699115044246,0.5171937254281114,0.6603325415676959,0.0826201448321271,0.29629629629629584,0.5528109028960819,0.7604499375086817,0.585837566558542,0.8169342309684098,0.41750311179873123,0.8324108174465628,0.6710756623106102,0.7947950444832459,0.44667614646284903,0.46333333333333293
31-17:00,0.26701570680628284,0.5292446524064174,0.6114447907955094,0.5672375857457181,0.0,0.3830581478822701,0.8991685321394307,0.6194690265486726,0.6431798992057836,0.6674584323040396,0.09249506254114603,0.28170177612556824,0.6537904599659283,0.8895292320511032,0.7085500948650463,0.928915222225607,0.6620793500717862,0.8248393269786254,0.6939788120788203,0.706410576203542,0.753110558122998,0.5833333333333321
31-19:00,0.4540014958863128,0.2047125668449199,0.5291061608251602,0.48664739635014387,0.6685114113836705,0.24198133524766696,0.5289734569875275,0.6477876106194689,0.49119369904219123,0.40617577197149757,0.09183673469387799,0.33016659782459,0.6137137989778534,0.740938758505763,0.7818103923128703,0.7776068480214458,0.37856185555523714,0.8177155545927208,0.48763480676930177,0.49031346137856513,0.7006754354781322,0.1466666666666665
31-21:00,0.6559461480927449,0.5404411764705881,0.5002154134671428,0.5247654541411819,0.8759150241720345,0.17363962670495425,0.518867924528303,0.6371681415929205,0.28770218211562315,0.4180522565320661,0.09183673469387799,0.37078342282803245,0.4178875638841566,0.6859463963338399,0.6624028398310777,0.4916684436591827,0.40463092952850277,0.8181795205083766,0.49203321458245214,0.20441506610127225,0.753110558122998,0.0600000000000005
31-23:00,0.5362752430815256,0.3412433155080212,0.6061734965407128,0.5249844852933854,0.4681312652037478,0.20545585068198235,0.7778381835625208,0.6548672566371683,0.3088406026544237,0.19239904988123513,0.09183673469387799,0.35439900867410135,0.34033219761499156,0.6658103041244274,0.6060958442989133,0.4707557803027995,0.42851458168193124,0.8207123772385905,0.48664846674278756,0.595535046146171,0.6356203341628159,0.16999999999999993
1-01:00,0.3492894540014957,0.2855949197860961,0.6613446868901895,0.5132198574970048,0.6726459909694288,0.18911701363962763,0.6711224816117696,0.5415929203539824,0.37208435578775156,0.2660332541567705,0.09183673469387799,0.2527881040892197,0.3214650766609881,0.6695597833634217,0.6676051165922026,0.5166631126816339,0.4922292575932664,0.8199035961871748,0.6307510728537492,0.4734763448906627,0.5858514041948126,0.206666666666667
1-06:00,0.13986537023186263,0.9122660427807492,0.0,0.20349321501226214,0.5155739563475734,0.12221105527638265,0.5979213303485764,0.6884955752212387,0.26908361698197836,0.3824228028503569,0.1059907834101379,0.5130111524163574,0.3297274275979558,0.4551451187335047,0.505538894669197,0.4630030158101561,0.26334253343392955,0.3452881282495668,0.7830770799654279,0.5503034838280534,0.6528617134731647,0.6400000000000006
1-12:00,0.022438294689603566,0.0,0.6202894143287969,0.5616921152103855,0.7763491970181761,0.0664178033022278,0.6981132075471717,0.13451327433628313,0.5722182643341511,0.3087885985748233,0.6267281105990783,0.2288310615448168,0.4887137989778534,0.22351062352451123,0.4028398310790138,0.3742803180308891,0.17219786901476153,0.0,0.08130116638887541,0.24935561652947547,0.55705652328475,0.543333333333333
1-14:00,0.7531787584143605,0.5153743315508021,0.4863275805266223,0.5221038937765279,0.9191727481657527,0.02466618808327503,0.5923888711224823,0.290265486725664,0.21221206364284018,0.33016627078384886,0.596115865701119,0.05989260636100724,0.07321124361158438,0.08005832523260281,0.13880898463798275,0.21386358790020377,0.26959159830259727,0.2824812247255921,0.0786865294372345,0.0,0.7404905794525405,0.3966666666666665
1-16:00,0.7830964846671651,0.5529745989304813,0.3082693428622114,0.458535079830217,0.11875229193435058,0.0,0.5569235689158951,0.3274336283185839,0.4445565846064541,0.4370546318289783,0.5957867017774863,0.20721464959383162,0.36848381601362856,0.007012914872934317,0.10612644592692178,0.5767203826118743,0.3831762312695183,0.2857777296360484,0.40112442763022615,0.3963997671904882,0.7044081052257383,0.4733333333333327
1-18:00,0.7008227374719522,0.5320855614973261,0.413036316176284,0.5188648876469748,0.4545882076303568,0.039856424982055216,0.6265430124720197,0.44601769911504396,0.522395050001319,0.32066508313539366,0.6099407504937462,0.3194272339253752,0.43931005110732535,0.0,0.16482036844359982,0.6174033569927191,0.3937006370035051,0.28428473425765444,0.0,0.4844100773260165,0.6230003554923584,0.31666666666666643
1-20:00,0.581151832460733,0.6657754010695187,0.2040345675257862,0.6212022155332906,0.46609056884760847,0.09183058147882406,0.6145187080268624,0.5486725663716814,0.6477116810469932,0.4038004750593842,0.6125740618828175,0.43838634173206703,0.5181856899488926,0.05311762255242414,0.23544892588285649,0.7702500990038688,0.48138014242647087,0.2815875938763719,0.6688371719792501,0.5227405005404508,0.5108425168858872,0.4733333333333327
1-22:00,0.4839192221391173,0.8982286096256684,0.16901087204440035,0.6210827439957254,0.5275326049530976,0.08542713567839222,0.6001918771985935,0.5185840707964604,0.5663473970289452,0.4038004750593842,0.5954575378538518,0.2266281151039511,0.36307495741056206,0.036939313984166944,0.21604749372666632,0.5980290614433239,0.19883359278253698,0.2823440207972272,0.820123342656197,0.49542695601563147,0.601315321720584,0.32333333333333236
2-00:00,0.26701570680628284,0.8146724598930482,0.32894903570794987,0.8251135809270322,0.34838241921893676,0.1745010768126356,0.6636392708666463,0.6707964601769909,0.7797336341328265,0.34916864608076104,0.5622119815668212,0.2688971499380415,0.6113287904599658,0.07165671434522736,0.2494032682538716,0.7344106985103729,0.36423325597608625,0.28667136048526864,0.0,0.7579196807183834,0.48826875222182764,0.42666666666666586
2-01:00,0.2071802543006731,0.7075534759358291,0.4751767657568615,0.8334434020184047,0.5703396401768044,0.18765254845656898,0.7241445474896064,0.5557522123893803,0.836100556742922,0.22327790973871764,0.5641869651086253,0.4934600027536833,0.8612862010221463,0.11040133314817169,0.349348185323457,0.8717519115362353,0.5059912073779077,0.2799447573656846,0.6212353992420228,0.6765610709237551,0.4223249200142192,0.2766666666666673
2-03:00,0.39640987284966345,0.6462232620320856,0.46389923718289894,0.8550279264719056,0.699706912334036,0.1777171572146461,0.7410617204988803,0.4796460176991153,0.7835925750019785,0.19239904988123513,0.5306122448979602,0.4365964477488644,0.8394378194207834,0.08832106651853877,0.3040577758736731,0.8450208669692632,0.48842188032229006,0.28226819757365695,0.5252511405601408,0.5593664255425297,0.46302879488091264,0.3433333333333337
2-05:00,0.4913986537023187,0.6991978609625666,0.30647000684254544,0.8280174030206386,0.699309410437504,0.2965972720746599,0.6603773584905674,0.43185840707964607,0.6386514156046332,0.3681710213776732,0.4944042132982238,0.3096516590940377,0.5051533219761501,0.046521316483818964,0.23752983658730642,0.6755110122764794,0.3796155694989606,0.2833892980935875,0.8251369591638511,0.4859482830298494,0.5524351226448658,0.2866666666666653
2-07:00,0.6095736724008973,0.7144050802139039,0.19787627664157736,0.8282132035960932,0.6105069268904435,0.31121320890165194,0.6769747361688534,0.5486725663716814,0.616002401118763,0.39904988123515395,0.4667544437129685,0.3336087016384415,0.5716780238500854,0.0545757533675868,0.1848338331599244,0.7338319066621988,0.40131220811964596,0.28226819757365695,0.8539982713973094,0.5005820237798289,0.5787415570565244,0.2866666666666653
2-09:00,0.4869109947643977,0.8146724598930482,0.284979345649915,0.7346570337208411,0.5141799004005811,0.37783201722900195,0.7338983050847467,0.5628318584070797,0.7394753159713976,0.4133016627078394,0.4641211323238972,0.38634173206663913,0.7295996592844975,0.1439383418969591,0.2219842095599489,0.8738843025558227,0.5301167998930368,0.2814485846331598,0.8414817836371206,0.6926082979961754,0.4900462140063979,0.2333333333333325
2-11:00,0.3462976813762153,0.4540441176470591,0.5887376770825414,0.7014074410855975,0.2677091293868673,0.5066188083273513,0.8910457307323316,0.3734513274336284,0.859250903717776,0.5344418052256543,0.4302172481895994,0.3816604708798019,0.8732112436115842,0.2704485488126629,0.31225901217944596,0.9999999999999998,0.5803114663814318,0.2834633160023108,0.1400318637981447,0.7971231396025609,0.3382509776039839,0.2599999999999998
2-14:00,0.7830964846671651,0.8940508021390376,0.10050938949289145,0.6564197698845438,0.7578121719559614,0.30770997846374826,0.6535657179405181,0.4831858407079648,0.45076387239768856,0.46555819477434746,0.4002633311389072,0.08921933085501799,0.32712947189097097,0.0571448409943045,0.2134157537180954,0.5718768087245254,0.28092618590570073,0.3144714038128249,0.7721805303165817,0.1607217094869875,0.5207963028794822,0.11000000000000121
2-16:00,0.6933433059087508,0.9540441176470591,0.2901239261005093,0.7075768185393279,0.38192094191153636,0.29573582196697856,0.6763351455068758,0.5168141592920352,0.5551069949075171,0.6437054631828989,0.39730085582620145,0.08137133415943776,0.556303236797274,0.02291348423829831,0.1660444335638651,0.4742437627562677,0.5568337010190146,0.45819251877527445,0.7019614792425577,0.5568304647875617,0.5063988624244544,0.456666666666667
2-18:00,0.5661929693343306,0.7743983957219254,0.27010314503662003,0.6470578474547577,0.3999596899485207,0.3474228284278542,0.6834985609210111,0.43539823008849554,0.7980223752605609,0.6555819477434692,0.39861751152073843,0.40038551562715075,0.7744463373083472,0.10033328704346545,0.2635412203929235,0.9254272397721388,0.5409659150598326,0.5113048815713461,0.6934421762338864,0.7476095451899891,0.3426946320654096,0.29666666666666686
2-20:00,0.6783844427823487,0.987466577540107,0.12782888567880568,0.6641024534807696,0.677880699043476,0.3667193108399136,0.6769747361688534,0.4991150442477874,0.6463692973429378,0.6674584323040396,0.3989466754443711,0.2350268484097473,0.6652470187393527,0.15240938758505607,0.2546055450149929,0.8399945167088065,0.4344230199887308,0.5230971981513575,0.7498056575795216,0.4999168537457386,0.39512975471027545,0.27333333333333343
2-22:00,0.543754674644727,1.0000000000000002,0.26163866291593796,0.6779312839539764,0.6273503699287016,0.38541277817659747,0.7078989446754083,0.4513274336283186,0.6388196258476473,0.7030878859857488,0.39960500329164006,0.5596860801321766,0.6923339011925043,0.16761560894320127,0.2022155578676781,0.8293325616108691,0.5702725330837527,0.5470067879838241,0.5752351752258134,0.687328510850586,0.3878421613935288,0.22666666666666657
3-01:00,0.3492894540014957,0.7075534759358291,0.36830634329303824,0.7036176645305594,0.12408497582796565,0.6447954055994263,0.8906939558682456,0.5274336283185841,0.8176469036122325,0.6935866983372936,0.4131007241606319,0.4061682500344208,0.7993611584327089,0.3878627968337689,0.26580574086541375,0.9783105370579099,0.33978295402814795,0.5486496244945118,0.0,0.7686871206452148,0.2820831852115191,0.6699999999999999
3-03:00,0.1473448017950636,0.4540441176470591,0.6213538102840921,0.5506011741397221,0.2355618633321296,0.5717731514716444,0.7274064598656871,0.4513274336283186,0.7840972057310216,0.7292161520190028,0.41277156023699835,0.4085088806278403,0.7540885860306643,0.3331481738647426,0.353938429524451,0.9612666402656351,0.5607190722223815,0.3220176198729059,0.0,0.6449654943044816,0.29488091006043504,0.6833333333333336
3-05:00,0.47643979057591634,0.4323195187165776,0.2937479409006818,0.6151290790403778,0.6998076874627343,0.4682268485283565,0.8108410617204989,0.17345132743362868,0.5755725744742606,0.8076009501187666,0.41277156023699835,0.40410298774610975,0.5599659284497442,0.20906818497430635,0.2114572495256759,0.7233679593017939,0.39953108137791415,0.29069540727902954,0.25700844741721013,0.3697929658268897,0.3236757909704977,0.7746666666666666
3-07:00,0.9177262528047867,0.9136029411764708,0.17146911984591617,0.6492415216691501,0.8299195758486805,0.3632160804020099,0.7459545890630004,0.41415929203539825,0.3396263753661044,0.7862232779097393,0.4170506912442393,0.325898389095415,0.2848807495741057,0.08116928204415785,0.17393965358957075,0.41225210954397284,0.3301483158085744,0.3382889225880994,0.4342788266231563,0.2945871788475929,0.40508354070387753,0.9633333333333329
3-09:00,0.7456993268511591,0.9400066844919783,0.17689247066575442,0.7005678216688183,0.5842941961923799,0.44528356066044594,0.8275983370642788,0.534513274336283,0.6032547032903244,0.7624703087886004,0.446017116524029,0.4751480104639949,0.7664395229982963,0.1907373975836677,0.23538772262684304,0.758628567947117,0.5594234179169572,0.35894172443674166,0.6785116630528728,0.4876112081150743,0.3002132954141459,1.0
3-12:00,0.38519072550486166,0.6642713903743316,0.49408246534377454,0.7065480358547362,0.6033798858441737,0.49671213208901577,0.9076111288775195,0.3982300884955752,0.693675954510673,0.7862232779097393,0.23963133640553025,0.6968194960760021,0.9511925042589437,0.3053048187751699,0.36397576351062,0.930255582295062,0.5257443645404566,0.3212323079145003,0.00533125143144686,0.6358609794628751,0.3110558123000402,0.8166666666666647
3-14:00,0.31787584143605097,0.6448863636363635,0.3859702475987732,0.7150935694444898,0.7053867105598339,0.4741995692749459,0.9099136552606346,0.26017699115044257,0.5374943929918996,0.5795724465558205,0.18038183015141573,0.5938317499655792,0.8090715502555366,0.24454936814331418,0.2106616071975047,0.7526121789989946,0.8121762853877573,0.06266067302137501,0.4858627382470899,0.656398104265403,0.3092783505154628,0.7699999999999978
3-16:00,0.4143605086013462,0.5989304812834224,0.557819508857295,0.7443076790330765,0.7854189586010173,0.4263029432878689,0.862392069075792,0.3292035398230091,0.518536109132167,0.7624703087886004,0.4479921000658331,0.5040616825003434,0.6342844974446336,0.18691848354394835,0.21959728257543176,0.6127425594784783,0.6475072184180285,0.24735160311958415,0.002220100941035256,0.5356281699509438,0.17454674724493202,0.7033333333333331
3-18:00,0.37920718025430067,0.6016042780748665,0.5083250969360604,0.8187749521284187,0.5990941435653682,0.6360373295046671,0.8783498560921004,0.22654867256637168,0.5346414153407741,0.6627078384798111,0.4730085582620154,0.5565193446234336,0.8186115843270869,0.24934036939313842,0.23361282820246032,0.5646114478935023,0.7295982198282861,0.10728264009243205,0.8422558097935205,0.6319531055125964,0.08140774973337983,0.7966666666666651
3-20:00,0.7090501121914734,0.768716577540107,0.3585240376086569,0.8103986698835484,0.7868158138571402,0.6973725771715724,0.8311800447713473,0.5168141592920352,0.48817251114805127,0.584323040380049,0.4779460171165244,0.5037863141952368,0.5920357751277683,0.17879461185946255,0.20533692392434943,0.554056112346544,0.7574484205432835,0.0978697284806469,0.6505547744708452,0.49447077409162743,0.18538926413081924,0.8733333333333331
3-23:00,0.5512341062079282,0.7018716577540107,0.46511568970323647,0.8333239304808395,0.613295038784428,0.7108111988514008,0.8578509753757597,0.38584070796460157,0.6762282645980107,0.6532066508313541,0.5454246214614882,0.463857909954565,0.7885008517887564,0.2192751006804592,0.3228471754697324,0.6894629420903524,0.5817678836903547,0.2827177209705374,0.325151169147284,0.6276710734181423,0.04532527550657761,0.8233333333333324
4-01:00,0.4988780852655197,0.7645387700534758,0.18031374337920392,0.8105878331513598,0.7428610618899256,0.6807178750897354,0.8559002238567324,0.3079646017699118,0.6648229504736269,0.7529691211401417,0.5454246214614882,0.563678920556244,0.8158006814310053,0.18594639633384347,0.2325111695942219,0.7400310719834284,0.594398125598882,0.31958044482957826,0.9662521252284046,0.6771430947035839,0.02275151084251803,0.6699999999999999
4-03:00,0.7456993268511591,0.9804478609625666,0.24808028586634223,0.8431172779073894,0.79189935923814,0.64829863603733,0.8497281739686606,0.6566371681415926,0.5868129765956887,0.7387173396674598,0.5450954575378546,0.6431226765799263,0.7993611584327089,0.16699069573670045,0.24964808127792537,0.6863709751119507,0.7103305351020449,0.47641356152513015,1.0,0.6271306227654445,0.014575186633486226,0.7866666666666653
4-05:00,0.2819745699326852,0.8843582887700536,0.28665196786537916,0.8486395178659722,0.012034229952047809,0.7811916726489603,0.9580428525743532,0.4407079646017702,0.8511998997335022,0.7149643705463191,0.5740618828176434,0.7205011703152966,0.961371379897785,0.2484377169837515,0.1302405287961328,0.8527736314619061,0.6947874585756718,0.5242110774119006,0.9208002393964269,0.8834705246528645,0.0,0.7133333333333329
4-07:00,0.2595362752430814,0.5417780748663101,0.586152715476824,0.8567303958822143,0.2971550621306662,0.7756496769562098,0.9544611448672846,0.4725663716814159,0.8012084751576558,0.7149643705463191,0.5473996050032914,0.7166460140437838,0.9405877342419076,0.2841272045549239,0.23202154354611793,0.8105370579096476,0.7249042584687085,0.5522963604852684,0.1279734390333199,0.7173858817660264,0.076075364379669,0.6533333333333324
4-10:00,0.4278234854151084,0.4234625668449199,0.7651739780531688,0.8641210379421689,0.7578121719559614,0.6967982770997843,0.8386632555164706,0.1840707964601771,0.5212208765402779,0.6983372921615203,0.5467412771560243,0.7835605121850477,0.7974020442930154,0.18997361477572383,0.37725687006548725,0.5466841319645412,0.6627271772244984,0.18627599653379545,0.0,0.4368504198885841,0.1637042303590448,0.8333333333333321
4-12:00,0.6409872849663425,0.6574197860962567,0.23485136470767132,0.8409568342697464,0.7776452771456005,0.6643790380473789,0.7566677326511027,0.0849557522123896,0.46535858465922564,0.5463182897862247,0.6003949967083617,0.714993804213135,0.5788330494037477,0.09644493820302458,0.23336801517840655,0.4339415724860636,0.4657542968289895,0.21934936452917397,0.6955368949681613,0.32451983038164145,0.6148240312833266,0.43666666666666565
4-14:00,0.730740463724757,0.9107620320855616,0.204566765503434,0.7592150719981947,0.7503380165775088,0.6372146446518308,0.7241445474896064,0.564601769911504,0.4457307580674952,0.5011876484560567,0.6115865701119159,0.7013630731102847,0.6059199318568997,0.043882794056376184,0.169655425668644,0.4527370761872851,0.5811646244990084,0.2890850664355864,0.7585055109659278,0.3368670491394363,1.0,0.3966666666666665
4-16:00,0.26701570680628284,0.9679144385026739,0.24638232089003798,0.8048299687714677,0.39459341434533957,0.5715721464465187,0.8603133994243688,0.5415929203539824,0.8914615161349904,0.49168646080760325,0.6757735352205403,0.8930194134655105,0.971124361158433,0.19698652964865815,0.23110349470591984,0.889922929296006,0.8332250968557303,0.38604311091854426,0.7240220605813388,0.796748981458385,0.5778528261642393,0.43333333333333357
4-18:00,0.09498878085265527,0.767379679144385,0.5954788514660787,0.8509924434252487,0.1759981636532104,0.49903804737975577,0.7768468180364572,0.7876106194690267,0.8473574500646457,0.5249406175771973,0.6767610269914419,1.0,1.0,0.05200666574086554,0.1653711977477208,0.6253236664940445,0.43110429857987376,0.5440244078567305,0.0,0.6876610958676312,0.7635975826519754,0.42666666666666586
4-20:00,0.23934181002243826,0.40391042780748676,0.8027826351402723,0.8897642760190752,0.5031646189720377,0.5653409906676252,0.8393028461784464,0.4176991150442477,0.8641191060450142,0.548693586698338,0.6761026991441748,0.7507916838771855,0.9065587734241909,0.1742119150118029,0.28539078278964425,0.5199530873975691,0.5886488585826753,0.1428184575389948,0.0,0.6385216595992349,0.6482403128332734,0.5066666666666659
4-22:00,0.47270007479431575,0.49164438502673824,0.5115182848019459,0.8616254102685779,1.0,0.5022541277817663,0.7723057243364249,0.0,0.5779242196364018,0.5011876484560567,0.6764318630678074,0.7083849648905414,0.769250425894378,0.10817941952506516,0.1975029071546608,0.39819356017912066,0.5863026737593394,0.10888034373194677,0.4737290841582089,0.41128294670325105,0.7360469249911148,0.42666666666666586
5-00:00,0.8474195961106954,0.679645721925134,0.4132897437846881,0.8482545540227053,0.8732248880976176,0.5112993539124204,0.7817396866005772,0.14690265486725673,0.4613314335470591,0.6840855106888366,0.6754443712969058,0.6783698196337609,0.47657580919931863,0.13720316622691442,0.19248424016157628,0.3826118743717062,0.5833882474285877,0.31719020797227016,0.2507192759261148,0.3438513344973808,0.7387131176679702,0.9253333333333327
5-02:00,0.8279730740463724,0.7339572192513371,0.33921285384829836,0.8206101676915769,0.702895325433683,0.537602297200289,0.8064598656859605,0.270796460176991,0.618017625794876,0.5415676959619962,0.7139565503620808,0.7466611593005643,0.8623935264054512,0.1656019997222593,0.21916885978333767,0.650912358729095,0.7499546361821813,0.36945407279029463,0.3567775769804955,0.6018541614700259,0.4792036971205107,0.5249999999999986
5-04:00,0.47195213163799554,0.8175133689839573,0.32203046199853014,0.8468872686483455,0.7146580224000718,0.5908399138549889,0.8163415414134967,0.34690265486725647,0.7401448587033954,0.5985748218527327,0.7527978933508885,0.7353710587911326,0.8420357751277683,0.1558811276211607,0.24603708917314293,0.7191031772626195,0.8975064225615758,0.3976657279029461,0.33793012366029107,0.679720628585682,0.43032349804479253,0.6036666666666655
5-06:00,0.2715033657442034,0.8163435828877004,0.3769735675004433,0.8707483896232326,0.6109044287869754,0.6520890165111268,0.8666453469779345,0.4548672566371681,0.797709042454946,0.6294536817102152,0.7764976958525356,0.8373950158336774,0.935945485519591,0.24836828218302998,0.2008690862353859,0.8862369391050049,0.9114323187755274,0.47736857307914504,0.3477517298565126,0.7627837365926664,0.45076430856736494,0.5893333333333324
5-10:00,0.3642483171278983,0.6559157754010696,0.44828809650523316,0.8199066130814692,0.7940912182873268,0.6550179468772441,0.8012791813239541,0.4371681415929203,0.7710097891764955,0.6033254156769612,0.8104015799868334,0.6903483409059614,0.8145229982964226,0.2362171920566567,0.2485464226696834,0.6199165321229476,0.8375975322083108,0.4552642980935875,0.39341258603309087,0.6631745239876945,0.5307500888730914,0.5459999999999994
5-13:00,0.5512341062079282,0.7339572192513371,0.38500722268683973,0.8592758033631234,0.7758509199929458,0.45814788226848613,0.73031659737768,0.5592920353982302,0.7401448587033954,0.6080760095011879,0.9061882817643188,0.721327275230621,0.8678023850085181,0.22892653798083273,0.2661729604014944,0.6148749504980657,0.9234131418184365,0.5675675187752747,0.3376225193130392,0.5971148249771348,0.36171347316032865,0.5636666666666663
5-15:00,0.3605086013462977,0.8161764705882353,0.33039357307585093,0.8529404932183309,0.4978347343875532,0.5510409188801155,0.7362008314678601,0.5681415929203539,0.8352628037679093,0.5961995249406176,0.9591836734693882,0.6753407682775707,0.873424190800681,0.2462852381613665,0.14009425301426148,0.7500990038687665,0.7818446042524202,0.5678274841132294,0.45536644203747756,0.7387544691111667,0.2966583718450053,0.673333333333332
